team_name,game,team_league,team_country
DC United,fifa19,Major League Soccer,us
AC ChievoVerona,fifa19,Serie A,it
Dynamo Kyiv,fifa19,Premier League,ua
KRC Genk,fifa19,Pro League,be
Santos,fifa19,Série A,br
Internacional,fifa19,Série A,br
América Mineiro,fifa19,Série A,br
VfB Stuttgart,fifa19,Bundesliga,de
Independiente,fifa19,Liga Profesional de Fútbol,ar
Sporting Clube de Braga,fifa19,Primeira Liga,pt
1. FSV Mainz 05,fifa19,Bundesliga,de
Spartak Moscow,fifa19,Premier League,ru
FC Red Bull Salzburg,fifa19,Bundesliga,at
RC Strasbourg Alsace,fifa19,Ligue 1,fr
Southampton,fifa19,Premier League,gb-eng
FC Augsburg,fifa19,Bundesliga,de
Feyenoord,fifa19,Eredivisie,nl
Club Brugge KV,fifa19,Pro League,be
Real Valladolid CF,fifa19,La Liga,es
Al Ahli SFC,fifa19,Pro League,sa
Toulouse FC,fifa19,Ligue 1,fr
Leeds United,fifa19,Championship,gb-eng
Beijing Renhe,fifa19,Super League,cn
PAOK,fifa19,Super League,gr
Portland Timbers,fifa19,Major League Soccer,us
Stade Rennais FC,fifa19,Ligue 1,fr
Dinamo Zagreb,fifa19,Hrvatska nogometna liga,hr
SK Slavia Praha,fifa19,První liga,cz
Olympiacos FC,fifa19,Super League,gr
Kasımpaşa SK,fifa19,Süper Lig,tr
Monterrey,fifa19,Liga MX,mx
Independiente Medellín,fifa19,Categoría Primera A,co
Angers SCO,fifa19,Ligue 1,fr
Rayo Vallecano,fifa19,La Liga,es
Nîmes Olympique,fifa19,Ligue 1,fr
Stade Malherbe Caen,fifa19,Ligue 1,fr
Godoy Cruz,fifa19,Liga Profesional de Fútbol,ar
SC Freiburg,fifa19,Bundesliga,de
Seattle Sounders FC,fifa19,Major League Soccer,us
Gamba Osaka,fifa19,J1 League,jp
Tianjin Tianhai FC,fifa19,Super League,cn
Melbourne Victory,fifa19,A-League Men,au
Cruz Azul,fifa19,Liga MX,mx
Tianjin Jinmen Tiger,fifa19,Super League,cn
BSC Young Boys,fifa19,Super League,ch
Parma,fifa19,Serie A,it
Kaizer Chiefs,fifa19,Premier Soccer League,za
Al Shabab,fifa19,Pro League,sa
CA Banfield,fifa19,Liga Profesional de Fútbol,ar
Standard de Liège,fifa19,Pro League,be
Moreirense FC,fifa19,Primeira Liga,pt
Defensa y Justicia,fifa19,Liga Profesional de Fútbol,ar
Udinese,fifa19,Serie A,it
Stade de Reims,fifa19,Ligue 1,fr
Botafogo,fifa19,Série A,br
Club América,fifa19,Liga MX,mx
Vitesse,fifa19,Eredivisie,nl
RC Deportivo de La Coruña,fifa19,La Liga 2,es
Hannover 96,fifa19,Bundesliga,de
Frosinone,fifa19,Serie A,it
Toluca,fifa19,Liga MX,mx
Bologna,fifa19,Serie A,it
Vitória SC,fifa19,Primeira Liga,pt
Deportivo Cali,fifa19,Categoría Primera A,co
Hamburger SV,fifa19,2. Bundesliga,de
CD Leganés,fifa19,La Liga,es
Al Ittihad,fifa19,Pro League,sa
FC København,fifa19,Superliga,dk
RSC Anderlecht,fifa19,Pro League,be
Amiens SC,fifa19,Ligue 1,fr
Celtic,fifa19,Premiership,gb-sct
Huddersfield Town,fifa19,Premier League,gb-eng
CD Tondela,fifa19,Primeira Liga,pt
Rio Ave FC,fifa19,Primeira Liga,pt
Changchun Yatai,fifa19,Super League,cn
San Lorenzo de Almagro,fifa19,Liga Profesional de Fútbol,ar
Grasshopper Club Zürich,fifa19,Super League,ch
Al Wahda,fifa19,Pro League,sa
Sparta Praha,fifa19,První liga,cz
Columbus Crew,fifa19,Major League Soccer,us
AEK Athens,fifa19,Super League,gr
Al Taawoun FC,fifa19,Pro League,sa
Shandong Taishan,fifa19,Super League,cn
Junior FC,fifa19,Categoría Primera A,co
Akhisar Belediyespor,fifa19,Süper Lig,tr
1. FC Nürnberg,fifa19,Bundesliga,de
West Bromwich Albion,fifa19,Championship,gb-eng
Real Sporting de Gijón,fifa19,La Liga 2,es
Erzurumspor FK,fifa19,Süper Lig,tr
Göztepe SK,fifa19,Süper Lig,tr
Bahia,fifa19,Série A,br
Livorno,fifa19,Serie B,it
Pachuca,fifa19,Liga MX,mx
New York City FC,fifa19,Major League Soccer,us
FC Basel 1893,fifa19,Super League,ch
Philadelphia Union,fifa19,Major League Soccer,us
Lanús,fifa19,Liga Profesional de Fútbol,ar
Rangers FC,fifa19,Premiership,gb-sct
New York Red Bulls,fifa19,Major League Soccer,us
Portimonense SC,fifa19,Primeira Liga,pt
Atlas FC,fifa19,Liga MX,mx
Empoli,fifa19,Serie A,it
Paraná,fifa19,Série A,br
Cardiff City,fifa19,Premier League,gb-eng
Colón,fifa19,Liga Profesional de Fútbol,ar
VVV-Venlo,fifa19,Eredivisie,nl
Norwich City,fifa19,Championship,gb-eng
Royal Antwerp FC,fifa19,Pro League,be
Club Athletico Paranaense,fifa19,Série A,br
AZ Alkmaar,fifa19,Eredivisie,nl
Fortuna Düsseldorf,fifa19,Bundesliga,de
Kawasaki Frontale,fifa19,J1 League,jp
Aston Villa,fifa19,Championship,gb-eng
Guadalajara,fifa19,Liga MX,mx
En Avant Guingamp,fifa19,Ligue 1,fr
Talleres,fifa19,Liga Profesional de Fútbol,ar
Dijon FCO,fifa19,Ligue 1,fr
Trabzonspor,fifa19,Süper Lig,tr
Vélez Sarsfield,fifa19,Liga Profesional de Fútbol,ar
Vitória,fifa19,Série A,br
Santos Laguna,fifa19,Liga MX,mx
Chongqing Dangdai Lifan,fifa19,Super League,cn
Sport Club do Recife,fifa19,Série A,br
Real Salt Lake,fifa19,Major League Soccer,us
Rosenborg BK,fifa19,Eliteserien,no
Real Zaragoza,fifa19,La Liga 2,es
Sydney FC,fifa19,A-League Men,au
Sporting Kansas City,fifa19,Major League Soccer,us
SV Zulte Waregem,fifa19,Pro League,be
Real Oviedo,fifa19,La Liga 2,es
Cádiz CF,fifa19,La Liga 2,es
Sheffield United,fifa19,Championship,gb-eng
Konyaspor,fifa19,Süper Lig,tr
KAA Gent,fifa19,Pro League,be
Newell's Old Boys,fifa19,Liga Profesional de Fútbol,ar
Colo-Colo,fifa19,Primera Division,cl
Palermo FC,fifa19,Serie B,it
Albacete Balompié,fifa19,La Liga 2,es
Perth Glory,fifa19,A-League Men,au
Panathinaikos FC,fifa19,Super League,gr
Universidad Católica,fifa19,Primera Division,cl
Brentford,fifa19,Championship,gb-eng
León,fifa19,Liga MX,mx
Çaykur Rizespor,fifa19,Süper Lig,tr
Minnesota United FC,fifa19,Major League Soccer,us
Alanyaspor,fifa19,Süper Lig,tr
FC Groningen,fifa19,Eredivisie,nl
Rosario Central,fifa19,Liga Profesional de Fútbol,ar
Hull City,fifa19,Championship,gb-eng
Middlesbrough,fifa19,Championship,gb-eng
ADO Den Haag,fifa19,Eredivisie,nl
Chapecoense,fifa19,Série A,br
Brescia,fifa19,Serie B,it
MKE Ankaragücü,fifa19,Süper Lig,tr
SD Huesca,fifa19,La Liga,es
Derby County,fifa19,Championship,gb-eng
Odense Boldklub,fifa19,Superliga,dk
Preston North End,fifa19,Championship,gb-eng
Benevento,fifa19,Serie B,it
UD Las Palmas,fifa19,La Liga 2,es
Vancouver Whitecaps FC,fifa19,Major League Soccer,us
CD Antofagasta,fifa19,Primera Division,cl
Gimnasia y Esgrima La Plata,fifa19,Liga Profesional de Fútbol,ar
Daegu FC,fifa19,K League 1,kr
Houston Dynamo,fifa19,Major League Soccer,us
Tijuana,fifa19,Liga MX,mx
Molde FK,fifa19,Eliteserien,no
Kayserispor,fifa19,Süper Lig,tr
Nottingham Forest,fifa19,Championship,gb-eng
B-SAD,fifa19,Primeira Liga,pt
New England Revolution,fifa19,Major League Soccer,us
Málaga CF,fifa19,La Liga 2,es
Yeni Malatyaspor,fifa19,Süper Lig,tr
1. FC Heidenheim 1846,fifa19,2. Bundesliga,de
Willem II,fifa19,Eredivisie,nl
Pumas UNAM,fifa19,Liga MX,mx
Legia Warszawa,fifa19,Ekstraklasa,pl
Neuchâtel Xamax,fifa19,Super League,ch
Lobos BUAP,fifa19,Liga MX,mx
Bursaspor,fifa19,Süper Lig,tr
FC Tokyo,fifa19,J1 League,jp
Puebla FC,fifa19,Liga MX,mx
1. FC Union Berlin,fifa19,2. Bundesliga,de
Granada CF,fifa19,La Liga 2,es
SC Paderborn 07,fifa19,2. Bundesliga,de
Ceará Sporting Club,fifa19,Série A,br
Boavista FC,fifa19,Primeira Liga,pt
Estudiantes de La Plata,fifa19,Liga Profesional de Fútbol,ar
FC Utrecht,fifa19,Eredivisie,nl
Birmingham City,fifa19,Championship,gb-eng
DSC Arminia Bielefeld,fifa19,2. Bundesliga,de
Viktoria Plzeň,fifa19,První liga,cz
FC Ingolstadt 04,fifa19,2. Bundesliga,de
Heracles Almelo,fifa19,Eredivisie,nl
Reading FC,fifa19,Championship,gb-eng
FC Sion,fifa19,Super League,ch
Vitória FC,fifa19,Primeira Liga,pt
FC Midtjylland,fifa19,Superliga,dk
SK Rapid,fifa19,Bundesliga,at
Padova,fifa19,Serie B,it
CD Lugo,fifa19,La Liga 2,es
Henan FC,fifa19,Super League,cn
CA Osasuna,fifa19,La Liga 2,es
CA Aldosivi,fifa19,Liga Profesional de Fútbol,ar
Ascoli,fifa19,Serie B,it
FC St. Pauli,fifa19,2. Bundesliga,de
Argentinos Juniors,fifa19,Liga Profesional de Fútbol,ar
Nagoya Grampus,fifa19,J1 League,jp
AIK,fifa19,Allsvenskan,se
Aberdeen,fifa19,Premiership,gb-sct
Urawa Red Diamonds,fifa19,J1 League,jp
Malmö FF,fifa19,Allsvenskan,se
Cosenza,fifa19,Serie B,it
Wisła Kraków,fifa19,Ekstraklasa,pl
Stade Brestois 29,fifa19,Ligue 2,fr
Jeonbuk Hyundai Motors,fifa19,K League 1,kr
Club Atlético Unión,fifa19,Liga Profesional de Fútbol,ar
Blackburn Rovers,fifa19,Championship,gb-eng
Atlético Nacional,fifa19,Categoría Primera A,co
CD Numancia,fifa19,La Liga 2,es
LASK Linz,fifa19,Bundesliga,at
Colorado Rapids,fifa19,Major League Soccer,us
Querétaro,fifa19,Liga MX,mx
Perugia,fifa19,Serie B,it
SV Sandhausen,fifa19,2. Bundesliga,de
Huracán,fifa19,Liga Profesional de Fútbol,ar
Shimizu S-Pulse,fifa19,J1 League,jp
Miedź Legnica,fifa19,Ekstraklasa,pl
CD Aves,fifa19,Primeira Liga,pt
Sivasspor,fifa19,Süper Lig,tr
SV Darmstadt 98,fifa19,2. Bundesliga,de
Atlético Tucumán,fifa19,Liga Profesional de Fútbol,ar
Al Ettifaq,fifa19,Pro League,sa
FC Metz,fifa19,Ligue 2,fr
VfL Bochum 1848,fifa19,2. Bundesliga,de
Brisbane Roar,fifa19,A-League Men,au
Bristol City,fifa19,Championship,gb-eng
Atlético Morelia,fifa19,Liga MX,mx
Marítimo,fifa19,Primeira Liga,pt
CD Everton de Viña del Mar,fifa19,Primera Division,cl
Waasland-Beveren,fifa19,Pro League,be
Royal Charleroi Sporting Club,fifa19,Pro League,be
Santa Clara,fifa19,Primeira Liga,pt
Hellas Verona FC,fifa19,Serie B,it
AS Eupen,fifa19,Pro League,be
CD Tenerife,fifa19,La Liga 2,es
Sint-Truidense VV,fifa19,Pro League,be
Universidad de Chile,fifa19,Primera Division,cl
Queens Park Rangers,fifa19,Championship,gb-eng
Wellington Phoenix,fifa19,A-League Men,au
Swansea City,fifa19,Championship,gb-eng
La Equidad,fifa19,Categoría Primera A,co
Hearts,fifa19,Premiership,gb-sct
GD Chaves,fifa19,Primeira Liga,pt
Crotone,fifa19,Serie B,it
Djurgårdens IF,fifa19,Allsvenskan,se
SC Heerenveen,fifa19,Eredivisie,nl
Lechia Gdańsk,fifa19,Ekstraklasa,pl
Yokohama F. Marinos,fifa19,J1 League,jp
Sagan Tosu,fifa19,J1 League,jp
FC Dallas,fifa19,Major League Soccer,us
Al Qadsiah FC,fifa19,Pro League,sa
Atlético Bucaramanga,fifa19,Categoría Primera A,co
KV Kortrijk,fifa19,Pro League,be
FK Austria Wien,fifa19,Bundesliga,at
UD Almería,fifa19,La Liga 2,es
Brøndby IF,fifa19,Superliga,dk
Kashiwa Reysol,fifa19,J1 League,jp
Belgrano de Córdoba,fifa19,Liga Profesional de Fútbol,ar
Sheffield Wednesday,fifa19,Championship,gb-eng
FC Lorient,fifa19,Ligue 2,fr
Millonarios FC,fifa19,Categoría Primera A,co
Cercle Brugge KSV,fifa19,Pro League,be
América de Cali,fifa19,Categoría Primera A,co
Deportes Tolima,fifa19,Categoría Primera A,co
Lecce,fifa19,Serie B,it
BK Häcken,fifa19,Allsvenskan,se
SSV Jahn Regensburg,fifa19,2. Bundesliga,de
Tigre,fifa19,Liga Profesional de Fútbol,ar
RC Lens,fifa19,Ligue 2,fr
Foggia,fifa19,Serie B,it
Fortuna Sittard,fifa19,Eredivisie,nl
RCD Mallorca,fifa19,La Liga 2,es
Kashima Antlers,fifa19,J1 League,jp
Elche CF,fifa19,La Liga 2,es
SK Brann,fifa19,Eliteserien,no
Once Caldas,fifa19,Categoría Primera A,co
San Jose Earthquakes,fifa19,Major League Soccer,us
Al Fateh,fifa19,Pro League,sa
Holstein Kiel,fifa19,2. Bundesliga,de
Sunderland,fifa19,League One,gb-eng
US Salernitana 1919,fifa19,Serie B,it
CD Feirense,fifa19,Primeira Liga,pt
CD Veracruz,fifa19,Liga MX,mx
Unión La Calera,fifa19,Primera Division,cl
FC Seoul,fifa19,K League 1,kr
AD Alcorcón,fifa19,La Liga 2,es
Pescara,fifa19,Serie B,it
Excelsior,fifa19,Eredivisie,nl
Al Raed,fifa19,Pro League,sa
Millwall FC,fifa19,Championship,gb-eng
Ulsan HD FC,fifa19,K League 1,kr
Adelaide United,fifa19,A-League Men,au
Hammarby Fotboll,fifa19,Allsvenskan,se
Arka Gdynia,fifa19,Ekstraklasa,pl
IFK Norrköping,fifa19,Allsvenskan,se
Cerezo Osaka,fifa19,J1 League,jp
FC Zürich,fifa19,Super League,ch
Lech Poznań,fifa19,Ekstraklasa,pl
Spezia,fifa19,Serie B,it
Aalborg Boldspilklub,fifa19,Superliga,dk
Le Havre AC,fifa19,Ligue 2,fr
Melbourne City FC,fifa19,A-League Men,au
Consadole Sapporo,fifa19,J1 League,jp
Górnik Zabrze,fifa19,Ekstraklasa,pl
Orlando Pirates,fifa19,Premier Soccer League,za
Al Hazem FC,fifa19,Pro League,sa
NAC Breda,fifa19,Eredivisie,nl
Jagiellonia Białystok,fifa19,Ekstraklasa,pl
Cittadella,fifa19,Serie B,it
Ipswich Town,fifa19,Championship,gb-eng
Guizhou FC,fifa19,Super League,cn
Antalyaspor,fifa19,Süper Lig,tr
FC Lugano,fifa19,Super League,ch
Club Atlético San Martín,fifa19,Liga Profesional de Fútbol,ar
Independiente Santa Fe,fifa19,Categoría Primera A,co
CD Palestino,fifa19,Primera Division,cl
Carpi,fifa19,Serie B,it
Al Fayha,fifa19,Pro League,sa
Cremonese,fifa19,Serie B,it
Al Faisaly,fifa19,Pro League,sa
Royal Excel Mouscron,fifa19,Pro League,be
Rotherham United,fifa19,Championship,gb-eng
Wigan Athletic,fifa19,Championship,gb-eng
San Martín de Tucumán,fifa19,Liga Profesional de Fútbol,ar
SK Sturm Graz,fifa19,Bundesliga,at
Necaxa,fifa19,Liga MX,mx
Gimnàstic de Tarragona,fifa19,La Liga 2,es
KV Oostende,fifa19,Pro League,be
Newcastle Jets,fifa19,A-League Men,au
Kalmar FF,fifa19,Allsvenskan,se
Suwon Samsung Bluewings,fifa19,K League 1,kr
Western Sydney Wanderers,fifa19,A-League Men,au
Kilmarnock,fifa19,Premiership,gb-sct
Vegalta Sendai,fifa19,J1 League,jp
PEC Zwolle,fifa19,Eredivisie,nl
FC Sochaux-Montbéliard,fifa19,Ligue 2,fr
CD Nacional,fifa19,Primeira Liga,pt
FC Erzgebirge Aue,fifa19,2. Bundesliga,de
KSC Lokeren Oost-Vlaanderen,fifa19,Pro League,be
Córdoba CF,fifa19,La Liga 2,es
Sanfrecce Hiroshima,fifa19,J1 League,jp
Hibernian,fifa19,Premiership,gb-sct
1. FC Magdeburg,fifa19,2. Bundesliga,de
AJ Auxerre,fifa19,Ligue 2,fr
Patriotas Boyacá,fifa19,Categoría Primera A,co
MSV Duisburg,fifa19,2. Bundesliga,de
Al Batin,fifa19,Pro League,sa
Gyeongnam FC,fifa19,K League 1,kr
Clermont Foot 63,fifa19,Ligue 2,fr
Alianza FC,fifa19,Categoría Primera A,co
Águilas Doradas,fifa19,Categoría Primera A,co
Patronato,fifa19,Liga Profesional de Fútbol,ar
La Berrichonne de Châteauroux,fifa19,Ligue 2,fr
Piast Gliwice,fifa19,Ekstraklasa,pl
ESTAC Troyes,fifa19,Ligue 2,fr
Venezia,fifa19,Serie B,it
Dynamo Dresden,fifa19,2. Bundesliga,de
Paris FC,fifa19,Ligue 2,fr
SpVgg Greuther Fürth,fifa19,2. Bundesliga,de
FC Nordsjælland,fifa19,Superliga,dk
Ohod Club,fifa19,Pro League,sa
Grenoble Foot 38,fifa19,Ligue 2,fr
Central Coast Mariners,fifa19,A-League Men,au
FC Thun,fifa19,Super League,ch
CD O'Higgins,fifa19,Primera Division,cl
Pohang Steelers,fifa19,K League 1,kr
AC Ajaccio,fifa19,Ligue 2,fr
San Luis de Quillota,fifa19,Primera Division,cl
Rayo Majadahonda,fifa19,La Liga 2,es
HJK Helsinki,fifa19,Veikkausliiga,fi
Jeju United FC,fifa19,K League 1,kr
Jaguares de Córdoba,fifa19,Categoría Primera A,co
Jeonnam Dragons,fifa19,K League 1,kr
GIF Sundsvall,fifa19,Allsvenskan,se
Bolton Wanderers,fifa19,Championship,gb-eng
Wolfsberger AC,fifa19,Bundesliga,at
Chamois Niortais FC,fifa19,Ligue 2,fr
Valenciennes FC,fifa19,Ligue 2,fr
Extremadura UD,fifa19,La Liga 2,es
Deportes Temuco,fifa19,Primera Division,cl
AS Nancy Lorraine,fifa19,Ligue 2,fr
Wisła Płock,fifa19,Ekstraklasa,pl
FC Hansa Rostock,fifa19,3. Liga,de
Kristiansund BK,fifa19,Eliteserien,no
Cracovia,fifa19,Ekstraklasa,pl
Motherwell FC,fifa19,Premiership,gb-sct
Pogoń Szczecin,fifa19,Ekstraklasa,pl
Śląsk Wrocław,fifa19,Ekstraklasa,pl
GFC Ajaccio,fifa19,Ligue 2,fr
AS Béziers,fifa19,Ligue 2,fr
Gangwon FC,fifa19,K League 1,kr
Peterborough United,fifa19,League One,gb-eng
IFK Göteborg,fifa19,Allsvenskan,se
Envigado,fifa19,Categoría Primera A,co
Curicó Unido,fifa19,Primera Division,cl
Randers FC,fifa19,Superliga,dk
Deportivo Pasto,fifa19,Categoría Primera A,co
Barnsley,fifa19,League One,gb-eng
CD Universidad de Concepción,fifa19,Primera Division,cl
Portsmouth,fifa19,League One,gb-eng
SV Wehen Wiesbaden,fifa19,3. Liga,de
Atlético Huila,fifa19,Categoría Primera A,co
Júbilo Iwata,fifa19,J1 League,jp
Gimcheon Sangmu FC,fifa19,K League 1,kr
Sarpsborg 08 FF,fifa19,Eliteserien,no
Vålerenga Fotball,fifa19,Eliteserien,no
SpVgg Unterhaching,fifa19,3. Liga,de
Unión Española,fifa19,Primera Division,cl
Charlton Athletic,fifa19,League One,gb-eng
Luton Town,fifa19,League One,gb-eng
Audax Italiano,fifa19,Primera Division,cl
Incheon United FC,fifa19,K League 1,kr
Lillestrøm SK,fifa19,Eliteserien,no
Karlsruher SC,fifa19,3. Liga,de
IF Elfsborg,fifa19,Allsvenskan,se
FC Emmen,fifa19,Eredivisie,nl
V-Varen Nagasaki,fifa19,J1 League,jp
Hobro,fifa19,Superliga,dk
De Graafschap,fifa19,Eredivisie,nl
Sønderjyske Fodbold,fifa19,Superliga,dk
FC Luzern,fifa19,Super League,ch
Deportes Iquique,fifa19,Primera Division,cl
Dundalk,fifa19,Premier Division,ie
1. FC Kaiserslautern,fifa19,3. Liga,de
Lincoln City,fifa19,League Two,gb-eng
Eintracht Braunschweig,fifa19,3. Liga,de
Shamrock Rovers,fifa19,Premier Division,ie
Shonan Bellmare,fifa19,J1 League,jp
CD Huachipato,fifa19,Primera Division,cl
Zagłębie Lubin,fifa19,Ekstraklasa,pl
Scunthorpe United,fifa19,League One,gb-eng
Strømsgodset IF,fifa19,Eliteserien,no
Plymouth Argyle,fifa19,League One,gb-eng
Odds Ballklubb,fifa19,Eliteserien,no
FK Bodø/Glimt,fifa19,Eliteserien,no
Aarhus Gymnastikforening,fifa19,Superliga,dk
Tromsø IL,fifa19,Eliteserien,no
KFC Uerdingen 05,fifa19,3. Liga,de
Korona Kielce,fifa19,Ekstraklasa,pl
VfL Osnabrück,fifa19,3. Liga,de
Red Star FC,fifa19,Ligue 2,fr
St Johnstone FC,fifa19,Premiership,gb-sct
Admira Wacker,fifa19,Bundesliga,at
Mansfield Town,fifa19,League Two,gb-eng
SV Mattersburg,fifa19,Bundesliga,at
Doncaster Rovers,fifa19,League One,gb-eng
IK Sirius,fifa19,Allsvenskan,se
Esbjerg fB,fifa19,Superliga,dk
SG Sonnenhof Großaspach,fifa19,3. Liga,de
VfR Aalen,fifa19,3. Liga,de
Gillingham,fifa19,League One,gb-eng
FSV Zwickau,fifa19,3. Liga,de
Livingston FC,fifa19,Premiership,gb-sct
Burton Albion,fifa19,League One,gb-eng
FC Wacker Innsbruck,fifa19,Bundesliga,at
Hallescher FC,fifa19,3. Liga,de
Oxford United,fifa19,League One,gb-eng
Bradford City,fifa19,League One,gb-eng
Accrington Stanley,fifa19,League One,gb-eng
US Orléans Loiret Football,fifa19,Ligue 2,fr
Dundee FC,fifa19,Premiership,gb-sct
Bristol Rovers,fifa19,League One,gb-eng
FC St.Gallen 1879,fifa19,Super League,ch
SC Rheindorf Altach,fifa19,Bundesliga,at
Ranheim Fotball,fifa19,Eliteserien,no
Örebro SK,fifa19,Allsvenskan,se
Fleetwood Town,fifa19,League One,gb-eng
Vendsyssel FF,fifa19,Superliga,dk
SC Preußen Münster,fifa19,3. Liga,de
Oldham Athletic,fifa19,League Two,gb-eng
Milton Keynes Dons,fifa19,League Two,gb-eng
Sportfreunde Lotte,fifa19,3. Liga,de
Vejle Boldklub,fifa19,Superliga,dk
AC Horsens,fifa19,Superliga,dk
Stabæk Fotball,fifa19,Eliteserien,no
FK Haugesund,fifa19,Eliteserien,no
TSV Hartberg,fifa19,Bundesliga,at
FC Würzburger Kickers,fifa19,3. Liga,de
Östersunds FK,fifa19,Allsvenskan,se
Southend United,fifa19,League One,gb-eng
SV Meppen,fifa19,3. Liga,de
Rochdale,fifa19,League One,gb-eng
Zagłębie Sosnowiec,fifa19,Ekstraklasa,pl
Shrewsbury Town,fifa19,League One,gb-eng
Coventry City,fifa19,League One,gb-eng
TSV 1860 München,fifa19,3. Liga,de
FC Carl Zeiss Jena,fifa19,3. Liga,de
SKN St. Pölten,fifa19,Bundesliga,at
SC Fortuna Köln,fifa19,3. Liga,de
