name,nickname,country_code,age,height,average,global_position,value,wage,best_foot,weak_foot_5stars,heading,jump,long_pass,short_pass,dribbling,acceleration,speed,shot_power,long_shot,stamina,defense,interception,team_id_fk,game
Wayne Rooney,W. Rooney,gb-eng,26,176,87,Delantero,21500000.0,130000.0,Diestro,4,80,80,85,84,83,76,79,91,85,88,120,39,5,fifa13
Arjen Robben,A. Robben,nl,28,180,87,Centrocampista,18500000.0,120000.0,Zurdo,2,54,61,73,84,93,93,91,86,89,67,78,38,3,fifa13
Andrea Pirlo,A. Pirlo,it,33,177,87,Centrocampista,10000000.0,110000.0,Diestro,4,56,33,95,93,80,61,55,76,84,69,194,76,8,fifa13
Gianluigi Buffon,G. Buffon,it,34,191,87,Portero,4000000.0,110000.0,Diestro,2,28,75,30,42,21,49,39,34,20,35,74,15,8,fifa13
Ángel Di María,Á. Di María,ar,24,180,86,Centrocampista,22500000.0,140000.0,Zurdo,2,53,72,82,81,86,90,88,88,78,77,153,53,1,fifa13
Juan Manuel Mata García,Juan Mata,es,24,170,86,Centrocampista,25500000.0,130000.0,Zurdo,3,66,72,74,87,86,85,73,74,72,74,53,39,9,fifa13
Luis Suárez,L. Suárez,uy,25,181,86,Delantero,23500000.0,120000.0,Diestro,4,72,69,64,82,91,86,78,82,81,86,113,41,10,fifa13
Gareth Bale,G. Bale,gb-wls,22,183,86,Delantero,42000000.0,140000.0,Zurdo,3,74,68,79,83,86,92,94,87,86,90,217,67,11,fifa13
Manuel Neuer,M. Neuer,de,26,193,86,Portero,23500000.0,140000.0,Diestro,4,19,78,40,42,16,57,61,42,16,44,45,22,3,fifa13
Thiago Emiliano da Silva,Thiago Silva,br,27,183,86,Defensa,18500000.0,120000.0,Diestro,3,81,79,80,77,68,81,82,78,73,78,272,91,4,fifa13
Francesc Fàbregas i Soler,Cesc Fàbregas,es,25,179,86,Centrocampista,22500000.0,140000.0,Diestro,3,74,68,92,92,82,67,68,77,80,75,189,60,0,fifa13
Sergio Ramos García,Sergio Ramos,es,26,183,86,Defensa,18500000.0,140000.0,Diestro,3,88,93,70,78,66,79,79,71,55,86,255,86,1,fifa13
Gerard Piqué Bernabeu,Piqué,es,25,192,86,Defensa,18500000.0,140000.0,Diestro,3,83,74,84,85,64,60,63,53,42,70,266,89,0,fifa13
Mario Gomez,M. Gomez,de,26,189,86,Delantero,21500000.0,130000.0,Diestro,4,87,76,51,71,74,73,84,86,75,65,62,31,3,fifa13
Carlos Tévez,C. Tévez,ar,28,172,86,Delantero,21500000.0,130000.0,Diestro,3,67,73,69,83,83,84,79,86,84,90,121,58,6,fifa13
Wesley Sneijder,W. Sneijder,nl,28,170,86,Centrocampista,21500000.0,130000.0,Diestro,5,46,51,92,90,83,83,75,86,84,69,172,68,12,fifa13
Vincent Kompany,V. Kompany,be,26,192,86,Defensa,18500000.0,140000.0,Diestro,3,81,69,74,82,70,69,76,76,67,70,259,87,6,fifa13
Xabier Alonso Olano,Xabi Alonso,es,30,183,86,Centrocampista,16000000.0,120000.0,Diestro,4,73,43,94,88,65,57,58,86,82,79,226,86,1,fifa13
Yaya Touré,Y. Touré,ci,29,187,86,Centrocampista,12000000.0,120000.0,Diestro,4,82,79,83,86,80,74,79,86,78,93,240,82,6,fifa13
Mario Götze,M. Götze,de,20,176,85,Centrocampista,36500000.0,140000.0,Diestro,4,59,64,76,87,91,84,82,68,65,73,74,54,13,fifa13
Sergio Busquets Burgos,Sergio Busquets,es,23,189,85,Centrocampista,14500000.0,120000.0,Diestro,3,70,66,78,85,74,59,54,61,54,86,241,86,0,fifa13
Robert Lewandowski,R. Lewandowski,pl,23,184,85,Delantero,24000000.0,130000.0,Diestro,4,83,85,43,80,82,82,82,81,76,74,77,38,13,fifa13
Eden Hazard,E. Hazard,be,21,172,85,Centrocampista,30000000.0,130000.0,Diestro,4,64,59,82,85,88,91,86,76,80,72,74,41,9,fifa13
Arturo Vidal,A. Vidal,cl,25,181,85,Centrocampista,20500000.0,120000.0,Diestro,4,68,79,81,85,84,79,79,80,80,93,250,86,8,fifa13
Mats Hummels,M. Hummels,de,23,192,85,Defensa,19000000.0,120000.0,Diestro,3,90,70,81,80,65,63,67,71,49,68,258,88,13,fifa13
Claudio Marchisio,C. Marchisio,it,26,179,85,Centrocampista,20500000.0,120000.0,Diestro,4,68,69,83,87,84,79,79,76,80,87,228,82,8,fifa13
Marek Hamšik,M. Hamšik,sk,24,183,85,Centrocampista,23000000.0,110000.0,Diestro,4,76,74,78,86,83,77,76,80,82,79,195,60,7,fifa13
Hugo Lloris,H. Lloris,fr,25,188,85,Portero,12500000.0,100000.0,Zurdo,1,10,74,31,27,10,63,61,23,14,46,34,27,11,fifa13
Karim Benzema,K. Benzema,fr,24,184,85,Delantero,19500000.0,130000.0,Diestro,4,78,71,47,84,82,83,84,83,78,70,40,22,1,fifa13
Riccardo Montolivo,R. Montolivo,it,27,181,85,Centrocampista,14500000.0,100000.0,Diestro,4,62,62,89,89,82,67,69,86,85,79,207,74,14,fifa13
Santiago Cazorla González,Santi Cazorla,es,27,168,85,Centrocampista,16500000.0,110000.0,Diestro,5,58,69,84,86,86,82,75,78,81,76,79,52,15,fifa13
Jesús Navas González,Jesús Navas,es,26,170,85,Delantero,18000000.0,100000.0,Diestro,3,55,70,71,80,87,92,90,78,74,79,73,33,16,fifa13
Javier Mascherano,J. Mascherano,ar,28,174,85,Defensa,14500000.0,120000.0,Diestro,3,63,78,76,77,58,69,68,76,59,87,263,92,0,fifa13
Giorgio Chiellini,G. Chiellini,it,27,186,85,Defensa,17500000.0,130000.0,Zurdo,2,76,93,69,61,60,75,79,84,60,71,266,88,8,fifa13
Andrea Barzagli,A. Barzagli,it,31,186,85,Defensa,8000000.0,100000.0,Diestro,3,76,85,71,73,54,73,69,64,40,69,264,90,8,fifa13
Daniele De Rossi,D. De Rossi,it,28,184,85,Centrocampista,10500000.0,80000.0,Diestro,4,86,80,86,83,78,69,69,88,84,86,248,88,17,fifa13
Carles Puyol Saforcada,Puyol,es,34,178,85,Defensa,3400000.0,90000.0,Diestro,3,83,80,65,71,54,66,64,71,40,58,261,90,0,fifa13
Thomas Müller,T. Müller,de,22,186,84,Centrocampista,21500000.0,110000.0,Diestro,4,78,69,72,84,79,83,85,81,78,88,83,48,3,fifa13
Pedro Rodriguez Ledesma,Pedro,es,24,169,84,Delantero,23000000.0,130000.0,Diestro,5,55,67,74,84,85,86,83,71,75,81,93,49,0,fifa13
Marco Reus,M. Reus,de,23,181,84,Centrocampista,21500000.0,130000.0,Diestro,4,51,73,74,83,87,89,92,85,89,77,82,36,13,fifa13
Toni Kroos,T. Kroos,de,22,182,84,Centrocampista,27000000.0,130000.0,Diestro,5,52,54,84,86,83,60,52,86,88,74,149,66,3,fifa13
Stevan Jovetić,S. Jovetić,me,22,185,84,Delantero,27000000.0,120000.0,Diestro,4,76,76,73,82,87,83,81,83,80,75,103,30,18,fifa13
A. Hernanes de Carvalho A. Lima,Hernanes,br,27,180,84,Centrocampista,18000000.0,100000.0,Diestro,5,60,68,80,86,86,68,72,86,86,73,194,78,19,fifa13
Sami Khedira,S. Khedira,de,25,189,84,Centrocampista,13500000.0,110000.0,Diestro,4,80,62,75,85,60,58,61,82,74,88,242,89,1,fifa13
Luka Modrić,L. Modrić,hr,26,174,84,Centrocampista,20500000.0,130000.0,Diestro,4,57,67,88,90,82,79,74,70,83,86,185,71,1,fifa13
Salvatore Sirigu,S. Sirigu,it,25,192,84,Portero,8000000.0,110000.0,Diestro,2,8,73,28,23,15,50,51,42,14,50,38,20,4,fifa13
Gonzalo Higuaín,G. Higuaín,ar,24,184,84,Delantero,23000000.0,140000.0,Diestro,4,76,72,62,67,76,77,78,83,76,66,42,32,1,fifa13
Samir Nasri,S. Nasri,fr,25,177,84,Centrocampista,18000000.0,110000.0,Diestro,4,55,68,82,85,86,83,82,75,75,72,116,37,6,fifa13
Ezequiel Lavezzi,E. Lavezzi,ar,27,173,84,Delantero,17500000.0,120000.0,Diestro,4,47,73,60,80,87,90,87,83,72,80,95,30,4,fifa13
Dante Bonfim Costa Santos,Dante,br,28,188,84,Defensa,11500000.0,100000.0,Zurdo,3,87,67,76,78,68,67,69,77,60,68,254,84,3,fifa13
Jefferson Farfán,J. Farfán,pe,27,178,84,Centrocampista,16000000.0,110000.0,Diestro,3,58,65,73,84,86,90,88,81,75,80,89,39,20,fifa13
Joe Hart,J. Hart,gb-eng,25,196,84,Portero,9500000.0,110000.0,Diestro,3,10,72,35,32,11,61,55,25,19,42,41,25,6,fifa13
Roberto Soldado Rillo,Soldado,es,27,179,84,Delantero,16500000.0,90000.0,Diestro,3,83,83,65,70,77,78,79,82,79,75,119,40,21,fifa13
Daniel Alves da Silva,Dani Alves,br,29,173,84,Defensa,10500000.0,110000.0,Diestro,3,66,85,79,82,81,87,92,88,77,88,237,81,0,fifa13
Arda Turan,A. Turan,tr,25,176,84,Centrocampista,20500000.0,130000.0,Diestro,4,70,80,79,84,89,77,70,74,77,71,130,31,2,fifa13
Federico Marchetti,F. Marchetti,it,29,188,84,Portero,8000000.0,90000.0,Zurdo,2,12,83,35,36,11,57,50,50,12,54,45,23,19,fifa13
Luís Carlos Almeida da Cunha,Nani,pt,25,175,84,Centrocampista,17500000.0,110000.0,Diestro,4,46,51,76,81,89,88,84,85,84,76,57,31,5,fifa13
Diego Ribas da Cunha,Diego,br,27,173,84,Centrocampista,18000000.0,80000.0,Diestro,4,53,77,81,87,88,78,74,68,82,57,116,34,22,fifa13
René Adler,R. Adler,de,27,191,84,Portero,8000000.0,70000.0,Diestro,3,9,69,36,38,12,46,37,44,13,26,34,22,23,fifa13
Képler Laveran Lima Ferreira,Pepe,pt,29,188,84,Defensa,10500000.0,100000.0,Diestro,3,81,79,60,68,58,70,77,63,56,75,263,85,1,fifa13
Antonio Di Natale,A. Di Natale,it,34,170,84,Delantero,8500000.0,60000.0,Diestro,4,63,60,78,80,86,90,84,83,84,71,86,33,24,fifa13
Victor Valdés Arribas,Victor Valdés,es,30,183,84,Portero,6500000.0,100000.0,Diestro,3,11,80,36,27,12,60,55,29,8,34,26,21,0,fifa13
Petr Čech,P. Čech,cz,30,196,84,Portero,6500000.0,100000.0,Zurdo,3,19,38,33,35,12,45,52,21,11,47,36,23,9,fifa13
Rafael van der Vaart,R. van der Vaart,nl,29,176,84,Centrocampista,15500000.0,70000.0,Zurdo,4,54,58,87,86,83,60,63,82,85,68,78,47,23,fifa13
Ashley Cole,A. Cole,gb-eng,31,176,84,Defensa,8000000.0,100000.0,Zurdo,2,69,77,76,81,78,81,77,77,58,86,260,82,9,fifa13
Miroslav Klose,M. Klose,de,34,184,84,Delantero,8500000.0,90000.0,Diestro,4,91,94,47,76,77,76,74,79,59,55,76,28,19,fifa13
Samuel Eto'o,S. Eto'o,cm,31,180,84,Delantero,13000000.0,80000.0,Diestro,3,76,85,62,73,87,90,91,83,75,78,94,39,25,fifa13
Francisco Román Alarcón Suárez,Isco,es,20,176,83,Centrocampista,19500000.0,70000.0,Diestro,3,48,64,80,85,88,80,79,75,82,70,74,43,26,fifa13
Thibaut Courtois,T. Courtois,be,20,199,83,Portero,16000000.0,90000.0,Zurdo,3,13,71,31,32,13,51,58,36,17,56,45,15,2,fifa13
Neymar da Silva Santos Jr.,Neymar,br,20,174,83,Delantero,26000000.0,90000.0,Diestro,5,62,61,75,79,92,92,89,77,75,86,78,36,27,fifa13
Givanildo Vieira de Souza,Hulk,br,25,180,83,Delantero,20000000.0,100000.0,Zurdo,2,68,72,79,76,83,88,85,92,88,84,102,55,28,fifa13
Shinji Kagawa,S. Kagawa,jp,23,172,83,Centrocampista,17000000.0,100000.0,Diestro,4,51,63,73,83,88,90,79,62,72,88,50,56,5,fifa13
Mario Balotelli,M. Balotelli,it,21,189,83,Delantero,26000000.0,110000.0,Diestro,4,73,71,60,76,86,85,83,86,78,73,52,39,14,fifa13
Alexis Sánchez,A. Sánchez,cl,23,168,83,Delantero,17000000.0,110000.0,Diestro,3,59,66,70,76,84,89,85,77,75,76,108,42,0,fifa13
Adil Rami,A. Rami,fr,26,190,83,Defensa,12500000.0,80000.0,Diestro,3,86,71,76,70,53,53,58,70,52,66,252,83,21,fifa13
Mario Mandžukić,M. Mandžukić,hr,26,187,83,Delantero,13000000.0,90000.0,Diestro,3,91,86,41,74,76,76,78,82,76,83,92,30,3,fifa13
Edin Džeko,E. Džeko,ba,26,193,83,Delantero,13000000.0,90000.0,Diestro,4,80,57,59,71,82,69,74,88,84,72,55,50,6,fifa13
Branislav Ivanović,B. Ivanović,rs,28,188,83,Defensa,8000000.0,80000.0,Diestro,3,86,75,55,64,57,62,65,72,61,77,253,85,9,fifa13
Javier Martínez Aginaga,Javi Martínez,es,23,190,83,Centrocampista,13000000.0,90000.0,Diestro,3,86,54,78,84,72,64,55,74,63,83,241,86,3,fifa13
Kevin-Prince Boateng,K. Boateng,gh,25,185,83,Centrocampista,16500000.0,100000.0,Diestro,4,78,87,77,80,83,80,79,86,80,90,208,72,14,fifa13
Antonio Valencia,A. Valencia,ec,26,181,83,Centrocampista,10000000.0,80000.0,Diestro,2,65,63,68,81,83,89,88,81,63,82,142,42,5,fifa13
Alessandro Diamanti,A. Diamanti,it,29,180,83,Centrocampista,11000000.0,60000.0,Zurdo,3,52,33,80,82,84,78,68,87,85,74,129,40,29,fifa13
Steve Mandanda,S. Mandanda,fr,27,185,83,Portero,9000000.0,90000.0,Diestro,3,13,74,28,31,9,53,43,34,8,31,35,23,30,fifa13
Samir Handanovič,S. Handanovič,si,27,193,83,Portero,7000000.0,80000.0,Diestro,2,10,83,39,34,19,57,57,37,19,41,41,22,31,fifa13
João Filipe Moutinho,João Moutinho,pt,25,171,83,Centrocampista,14500000.0,90000.0,Diestro,4,68,81,83,86,81,79,77,76,81,91,210,78,32,fifa13
Fernando Llorente Torres,Fernando Llorente,es,27,195,83,Delantero,12000000.0,60000.0,Diestro,3,93,71,48,70,73,51,65,83,65,58,67,43,33,fifa13
Borja Valero Iglesias,Borja Valero,es,27,174,83,Centrocampista,11500000.0,70000.0,Diestro,4,52,65,88,87,81,74,67,81,77,78,192,75,18,fifa13
Alexandre Song,A. Song,cm,24,184,83,Centrocampista,8500000.0,80000.0,Diestro,3,73,71,78,83,76,68,75,68,42,87,233,86,0,fifa13
Daniel Agger,D. Agger,dk,27,191,83,Defensa,8000000.0,60000.0,Zurdo,3,83,70,72,76,61,67,69,86,73,76,255,84,10,fifa13
Klaas-Jan Huntelaar,K. Huntelaar,nl,28,186,83,Delantero,12000000.0,90000.0,Diestro,4,80,78,44,72,70,67,72,83,75,64,76,27,20,fifa13
Igor Akinfeev,I. Akinfeev,ru,26,186,83,Portero,7000000.0,90000.0,Diestro,3,18,73,23,23,15,56,56,24,13,55,43,12,34,fifa13
Álvaro Negredo Sánchez,Negredo,es,26,186,83,Delantero,12000000.0,70000.0,Zurdo,3,82,79,58,70,78,67,77,88,78,69,72,32,16,fifa13
Diego Milito,D. Milito,ar,33,183,83,Delantero,7000000.0,70000.0,Diestro,3,80,83,56,76,83,79,75,75,69,51,78,24,31,fifa13
Ricardo Izecson dos Santos Leite,Kaká,br,30,186,83,Centrocampista,10500000.0,80000.0,Diestro,4,48,46,75,84,85,73,69,76,83,54,63,41,1,fifa13
David Villa Sánchez,David Villa,es,30,175,83,Delantero,9000000.0,90000.0,Diestro,5,73,73,61,83,84,76,78,83,84,62,88,29,0,fifa13
Mirko Vučinić,M. Vučinić,me,28,186,83,Delantero,12000000.0,80000.0,Diestro,4,76,77,73,87,86,79,83,84,84,73,96,36,8,fifa13
Júlio César Soares Espíndola,Júlio César,br,32,186,83,Portero,3900000.0,50000.0,Zurdo,3,11,75,31,36,10,39,41,35,17,35,45,25,35,fifa13
Didier Drogba,D. Drogba,ci,34,189,83,Delantero,6000000.0,70000.0,Diestro,4,91,76,56,74,76,70,74,90,81,60,83,42,12,fifa13
José Manuel Reina Páez,José Reina,es,29,188,83,Portero,4700000.0,60000.0,Diestro,3,13,73,22,19,10,50,63,29,15,34,39,23,10,fifa13
Walter Samuel,W. Samuel,ar,34,183,83,Defensa,2400000.0,70000.0,Zurdo,3,72,83,70,66,37,61,55,73,40,31,264,90,31,fifa13
Steven Gerrard,S. Gerrard,gb-eng,32,183,83,Centrocampista,8500000.0,70000.0,Diestro,3,73,71,85,86,77,65,69,94,86,79,198,65,10,fifa13
John Terry,J. Terry,gb-eng,31,187,83,Defensa,6000000.0,80000.0,Diestro,3,90,69,64,63,45,50,47,61,33,67,251,83,9,fifa13
Antonio Cassano,A. Cassano,it,29,175,83,Delantero,11000000.0,80000.0,Diestro,4,58,49,84,92,90,73,63,76,80,55,64,20,31,fifa13
Rio Ferdinand,R. Ferdinand,gb-eng,33,196,83,Defensa,3600000.0,70000.0,Diestro,3,84,64,73,74,58,53,62,59,29,55,258,85,5,fifa13
Francisco Amorebielsa,F. Amorebielsa,ve,26,198,82,Defensa,0,0,Zurdo,3,79,68,50,67,44,53,53,69,41,68,248,77,,fifa13
Omar Luis Cardosa,O. Cardosa,py,28,188,82,Delantero,0,0,Zurdo,2,83,67,71,71,73,59,60,90,86,76,96,29,,fifa13
Lucas Rodrigues M. Silva,Lucas,br,19,172,82,Centrocampista,23500000.0,100000.0,Diestro,3,50,71,75,81,89,94,91,81,85,72,130,50,4,fifa13
James Rodríguez,J. Rodríguez,co,20,180,82,Delantero,26000000.0,100000.0,Zurdo,3,68,55,82,83,86,80,78,79,81,73,121,58,32,fifa13
Holger Badstuber,H. Badstuber,de,23,190,82,Defensa,13500000.0,90000.0,Zurdo,3,82,65,77,78,49,60,71,75,59,58,252,82,3,fifa13
Stephan El Shaarawy,S. El Shaarawy,it,19,178,82,Delantero,20500000.0,100000.0,Diestro,4,54,71,69,78,86,91,86,80,79,84,132,51,14,fifa13
Jack Wilshere,J. Wilshere,gb-eng,20,173,82,Centrocampista,24500000.0,100000.0,Zurdo,3,58,67,84,86,84,83,77,75,73,85,207,69,15,fifa13
Jordi Alba Ramos,Jordi Alba,es,23,170,82,Defensa,11500000.0,90000.0,Zurdo,3,62,83,70,76,81,93,92,64,66,92,239,80,0,fifa13
Oscar dos Santos Emboaba,Oscar,br,20,179,82,Centrocampista,23500000.0,110000.0,Diestro,3,54,66,78,83,85,85,79,76,73,65,83,34,9,fifa13
İlkay Gündoğan,İ. Gündoğan,de,21,180,82,Centrocampista,21500000.0,90000.0,Diestro,4,57,70,83,88,86,84,81,78,75,78,199,78,13,fifa13
Neven Subotić,N. Subotić,rs,23,193,82,Defensa,11500000.0,90000.0,Diestro,3,86,73,72,72,47,68,74,84,64,67,253,72,13,fifa13
Aurélien Chedjou,A. Chedjou,cm,27,184,82,Defensa,10500000.0,70000.0,Diestro,3,80,91,66,74,51,66,65,75,59,68,250,82,36,fifa13
Diego Godín,D. Godín,uy,26,185,82,Defensa,10500000.0,80000.0,Diestro,3,84,81,69,73,53,64,68,67,43,76,256,87,2,fifa13
Willian Borges da Silva,Willian,br,23,174,82,Delantero,15500000.0,80000.0,Diestro,3,29,46,74,79,88,90,82,70,72,76,72,39,25,fifa13
Benedikt Höwedes,B. Höwedes,de,24,187,82,Defensa,12500000.0,90000.0,Diestro,3,84,78,64,74,61,68,74,62,31,69,252,83,20,fifa13
Óscar Cardozo,Ó. Cardozo,py,29,193,82,Delantero,11000000.0,80000.0,Zurdo,2,83,65,70,68,73,54,55,90,86,68,96,29,37,fifa13
Javier Hernández,J. Hernández,mx,24,175,82,Delantero,16500000.0,100000.0,Diestro,3,83,85,55,67,73,89,88,76,71,75,70,26,5,fifa13
Rui Pedro dos Santos Patrício,Rui Patrício,pt,24,190,82,Portero,9000000.0,90000.0,Zurdo,2,11,79,30,31,16,51,48,38,11,45,32,22,38,fifa13
Beñat Etxebarria Urkiaga,Beñat,es,25,175,82,Centrocampista,14500000.0,60000.0,Diestro,3,44,67,89,87,73,68,66,88,84,79,202,77,39,fifa13
Medhi Benatia,M. Benatia,ma,25,188,82,Defensa,10500000.0,60000.0,Diestro,3,80,78,64,66,58,71,70,62,23,75,255,87,24,fifa13
Lars Bender,L. Bender,de,23,184,82,Centrocampista,10500000.0,70000.0,Diestro,3,73,76,79,84,70,69,71,74,72,94,236,84,40,fifa13
Mathieu Valbuena,M. Valbuena,fr,27,167,82,Centrocampista,13000000.0,90000.0,Diestro,3,58,46,79,83,80,92,79,72,76,81,88,39,30,fifa13
Demba Ba,D. Ba,sn,27,189,82,Delantero,12000000.0,80000.0,Diestro,3,79,78,55,70,78,77,83,86,78,75,122,46,9,fifa13
Bryan Ruíz,B. Ruíz,cr,26,188,82,Centrocampista,14000000.0,70000.0,Zurdo,4,78,56,67,83,86,68,71,76,70,83,105,32,41,fifa13
Marcelo Vieira da Silva,Marcelo,br,24,174,82,Defensa,12500000.0,90000.0,Zurdo,3,63,79,76,79,83,78,81,83,65,83,241,82,1,fifa13
Łukasz Piszczek,Ł. Piszczek,pl,27,184,82,Defensa,9500000.0,80000.0,Diestro,3,74,73,68,79,75,83,87,75,65,87,241,83,13,fifa13
Jan Vertonghen,J. Vertonghen,be,25,189,82,Defensa,12500000.0,80000.0,Zurdo,3,84,80,76,79,71,69,74,86,68,83,238,82,11,fifa13
Ezequiel Garay,E. Garay,ar,25,192,82,Defensa,12500000.0,90000.0,Diestro,3,83,74,75,74,61,62,64,76,60,71,252,87,37,fifa13
Erik Lamela,E. Lamela,ar,20,183,82,Delantero,19500000.0,80000.0,Zurdo,3,70,64,70,80,90,82,82,76,80,66,73,30,17,fifa13
Fredy Guarín,F. Guarín,co,26,183,82,Centrocampista,14500000.0,90000.0,Diestro,3,74,75,80,84,85,77,79,92,86,87,224,80,31,fifa13
Stéphane Ruffier,S. Ruffier,fr,25,188,82,Portero,7000000.0,70000.0,Diestro,3,12,72,34,33,9,55,54,21,11,37,34,25,42,fifa13
Martin Škrtel,M. Škrtel,sk,27,191,82,Defensa,9500000.0,70000.0,Diestro,2,86,75,62,65,46,67,69,46,35,75,252,82,10,fifa13
Mbark Boussoufa,M. Boussoufa,ma,27,167,82,Centrocampista,12000000.0,60000.0,Diestro,4,45,76,77,80,86,83,75,72,74,83,124,47,25,fifa13
Leighton Baines,L. Baines,gb-eng,27,170,82,Defensa,10500000.0,60000.0,Zurdo,3,73,72,73,79,79,82,81,83,75,88,246,80,43,fifa13
Giuseppe Rossi,G. Rossi,it,25,173,82,Delantero,14000000.0,80000.0,Zurdo,3,62,60,71,78,84,82,80,82,86,42,67,38,18,fifa13
Fabio Quagliarella,F. Quagliarella,it,29,180,82,Delantero,11000000.0,80000.0,Diestro,4,72,73,65,75,76,77,73,88,86,65,80,26,8,fifa13
Gökhan Inler,G. Inler,ch,28,183,82,Centrocampista,11500000.0,70000.0,Diestro,4,68,75,84,82,75,69,68,88,86,83,234,80,7,fifa13
Rodrigo Palacio,R. Palacio,ar,30,175,82,Delantero,10500000.0,80000.0,Diestro,3,66,69,75,80,85,89,87,72,80,69,78,30,31,fifa13
Ashley Young,A. Young,gb-eng,26,175,82,Centrocampista,12500000.0,90000.0,Diestro,3,40,57,70,73,85,90,88,77,77,79,103,46,5,fifa13
Rio Antonio Mavuba,R. Mavuba,fr,28,172,82,Centrocampista,9500000.0,70000.0,Diestro,3,66,82,81,84,69,76,70,68,61,91,236,86,36,fifa13
Diego López Rodríguez,Diego López,es,30,196,82,Portero,4700000.0,80000.0,Diestro,3,10,68,23,28,11,34,52,27,11,46,41,16,1,fifa13
Giampaolo Pazzini,G. Pazzini,it,27,180,82,Delantero,12000000.0,80000.0,Diestro,3,88,93,49,74,68,74,73,80,63,76,86,32,14,fifa13
Jefferson de Oliveira Galvão,Jefferson,br,29,188,82,Portero,4700000.0,50000.0,Zurdo,2,12,71,23,21,12,52,50,25,10,32,41,21,44,fifa13
Jérémy Toulalan,J. Toulalan,fr,28,183,82,Centrocampista,7500000.0,50000.0,Diestro,3,74,69,84,81,69,54,53,80,74,90,227,87,26,fifa13
Cristian Ledesma,C. Ledesma,it,29,180,82,Centrocampista,9500000.0,60000.0,Diestro,4,56,64,86,90,76,68,64,80,80,73,200,78,19,fifa13
Patrice Evra,P. Evra,fr,31,173,82,Defensa,6000000.0,80000.0,Zurdo,2,74,87,73,82,77,78,79,74,38,84,250,79,5,fifa13
Jermain Defoe,J. Defoe,gb-eng,29,169,82,Delantero,11000000.0,70000.0,Diestro,3,67,74,42,67,79,83,84,87,84,76,52,18,11,fifa13
Fernando José Torres Sanz,Fernando Torres,es,28,183,82,Delantero,12000000.0,80000.0,Diestro,4,75,75,51,80,83,77,78,84,80,71,68,35,9,fifa13
Joaquín Sánchez Rodríguez,Joaquín,es,30,179,82,Centrocampista,9000000.0,50000.0,Diestro,3,49,48,82,81,90,76,77,73,76,58,65,36,26,fifa13
Mikel Arteta Amatriain,Mikel Arteta,es,30,175,82,Centrocampista,9000000.0,80000.0,Diestro,4,69,70,85,87,81,68,65,81,78,67,197,81,15,fifa13
